REG_DATE,PM25,PM100,Temperature,Humidity,TVOC,CO2,weekday
2020-04-05 00:00:00,4.64,6.19,19.6,15.4,1.54,2.35,Sunday
2020-04-05 00:01:00,4.93,6.19,19.6,15.3,1.54,2.4,Sunday
2020-04-05 00:02:00,4.93,6.19,19.6,15.3,1.55,2.39,Sunday
2020-04-05 00:03:00,4.06,6.19,19.7,15.3,1.55,2.38,Sunday
2020-04-05 00:04:00,3.48,6.19,19.6,15.4,1.53,2.33,Sunday
2020-04-05 00:05:00,3.19,6.19,19.6,15.3,1.56,2.34,Sunday
2020-04-05 00:06:00,3.48,6.19,19.6,15.3,1.54,2.38,Sunday
2020-04-05 00:07:00,3.77,6.19,19.6,15.4,1.54,2.35,Sunday
2020-04-05 00:08:00,3.77,6.19,19.6,15.4,1.56,2.4,Sunday
2020-04-05 00:09:00,4.64,6.19,19.6,15.4,1.55,2.4,Sunday
2020-04-05 00:10:00,4.64,6.19,19.6,15.3,1.55,2.33,Sunday
2020-04-05 00:11:00,3.77,6.19,19.6,15.4,1.54,2.4,Sunday
2020-04-05 00:12:00,2.61,0.0,19.6,15.3,1.54,2.42,Sunday
2020-04-05 00:13:00,4.06,6.19,19.6,15.4,1.55,2.37,Sunday
2020-04-05 00:14:00,3.77,6.19,19.6,15.4,1.53,2.38,Sunday
2020-04-05 00:15:00,3.77,6.19,19.6,15.3,1.53,2.4,Sunday
2020-04-05 00:16:00,2.9,6.19,19.6,15.3,1.54,2.37,Sunday
2020-04-05 00:17:00,4.35,6.19,19.6,15.4,1.54,2.4,Sunday
2020-04-05 00:18:00,3.77,6.19,19.6,15.3,1.55,2.41,Sunday
2020-04-05 00:19:00,3.48,6.19,19.6,15.4,1.56,2.35,Sunday
2020-04-05 00:20:00,3.48,6.19,19.7,15.3,1.55,2.35,Sunday
2020-04-05 00:21:00,4.35,6.19,19.6,15.3,1.54,2.39,Sunday
2020-04-05 00:22:00,3.48,6.19,19.6,15.3,1.52,2.39,Sunday
2020-04-05 00:23:00,3.19,6.19,19.6,15.3,1.56,2.38,Sunday
2020-04-05 00:24:00,4.06,6.19,19.6,15.3,1.56,2.34,Sunday
2020-04-05 00:25:00,3.19,6.19,19.6,15.4,1.56,2.39,Sunday
2020-04-05 00:26:00,3.48,6.19,19.6,15.4,1.55,2.44,Sunday
2020-04-05 00:27:00,3.77,6.19,19.6,15.4,1.55,2.38,Sunday
2020-04-05 00:28:00,3.48,6.19,19.6,15.4,1.54,2.39,Sunday
2020-04-05 00:29:00,4.64,6.19,19.6,15.4,1.56,2.36,Sunday
2020-04-05 00:30:00,5.51,6.19,19.6,15.4,1.57,2.34,Sunday
2020-04-05 00:31:00,4.93,6.19,19.6,15.3,1.57,2.36,Sunday
2020-04-05 00:32:00,5.22,6.19,19.6,15.3,1.54,2.35,Sunday
2020-04-05 00:33:00,6.67,6.19,19.5,15.3,1.54,2.33,Sunday
2020-04-05 00:34:00,5.8,6.19,19.6,15.4,1.53,2.35,Sunday
2020-04-05 00:35:00,6.09,6.19,19.6,15.3,1.54,2.39,Sunday
2020-04-05 00:36:00,4.06,6.19,19.6,15.3,1.54,2.35,Sunday
2020-04-05 00:37:00,4.64,6.19,19.6,15.3,1.57,2.36,Sunday
2020-04-05 00:38:00,4.35,6.19,19.5,15.3,1.56,2.37,Sunday
2020-04-05 00:39:00,4.06,6.19,19.5,15.3,1.55,2.37,Sunday
2020-04-05 00:40:00,2.9,0.0,19.5,15.4,1.56,2.32,Sunday
2020-04-05 00:41:00,2.9,6.19,19.6,15.3,1.56,2.29,Sunday
2020-04-05 00:42:00,3.48,6.19,19.6,15.3,1.53,2.36,Sunday
2020-04-05 00:43:00,3.77,6.19,19.6,15.3,1.54,2.35,Sunday
2020-04-05 00:44:00,4.64,6.19,19.6,15.3,1.56,2.34,Sunday
2020-04-05 00:45:00,3.77,6.19,19.6,15.4,1.57,2.32,Sunday
2020-04-05 00:46:00,3.48,6.19,19.6,15.3,1.58,2.35,Sunday
2020-04-05 00:47:00,4.06,6.19,19.6,15.3,1.58,2.36,Sunday
2020-04-05 00:48:00,3.48,6.19,19.6,15.4,1.62,2.39,Sunday
2020-04-05 00:49:00,3.48,6.19,19.6,15.4,1.62,2.34,Sunday
2020-04-05 00:50:00,4.06,6.19,19.6,15.4,1.62,2.39,Sunday
2020-04-05 00:51:00,3.48,6.19,19.6,15.3,1.61,2.38,Sunday
2020-04-05 00:52:00,4.35,6.19,19.6,15.4,1.62,2.38,Sunday
2020-04-05 00:53:00,3.48,6.19,19.6,15.4,1.63,2.36,Sunday
2020-04-05 00:54:00,3.77,6.19,19.6,15.4,1.62,2.4,Sunday
2020-04-05 00:55:00,3.19,6.19,19.6,15.4,1.61,2.37,Sunday
2020-04-05 00:56:00,3.77,6.19,19.5,15.4,1.62,2.37,Sunday
2020-04-05 00:57:00,4.35,6.19,19.5,15.4,1.61,2.35,Sunday
2020-04-05 00:58:00,3.48,6.19,19.5,15.5,1.61,2.38,Sunday
2020-04-05 00:59:00,4.06,6.19,19.5,15.5,1.6,2.43,Sunday
2020-04-05 01:00:00,4.35,6.19,19.5,15.5,1.62,2.4,Sunday
2020-04-05 01:01:00,4.93,6.19,19.5,15.5,1.58,2.37,Sunday
2020-04-05 01:02:00,4.93,6.19,19.5,15.5,1.58,2.39,Sunday
2020-04-05 01:03:00,4.06,6.19,19.5,15.5,1.58,2.37,Sunday
2020-04-05 01:04:00,3.77,6.19,19.5,15.4,1.58,2.36,Sunday
2020-04-05 01:05:00,4.35,6.19,19.5,15.4,1.58,2.39,Sunday
2020-04-05 01:06:00,3.77,6.19,19.5,15.5,1.58,2.33,Sunday
2020-04-05 01:07:00,4.06,6.19,19.5,15.5,1.59,2.37,Sunday
2020-04-05 01:08:00,4.06,6.19,19.5,15.4,1.58,2.39,Sunday
2020-04-05 01:09:00,3.48,6.19,19.5,15.5,1.59,2.35,Sunday
2020-04-05 01:10:00,3.48,6.19,19.5,15.5,1.58,2.37,Sunday
2020-04-05 01:11:00,3.19,6.19,19.5,15.5,1.59,2.46,Sunday
2020-04-05 01:12:00,3.48,6.19,19.5,15.5,1.58,2.38,Sunday
2020-04-05 01:13:00,3.19,6.19,19.5,15.6,1.59,2.4,Sunday
2020-04-05 01:14:00,3.19,6.19,19.5,15.5,1.57,2.35,Sunday
2020-04-05 01:15:00,3.48,6.19,19.5,15.5,1.59,2.37,Sunday
2020-04-05 01:16:00,3.19,6.19,19.5,15.5,1.61,2.39,Sunday
2020-04-05 01:17:00,4.06,6.19,19.4,15.6,1.59,2.39,Sunday
2020-04-05 01:18:00,4.64,6.19,19.5,15.6,1.6,2.33,Sunday
2020-04-05 01:19:00,5.51,6.19,19.4,15.6,1.58,2.39,Sunday
2020-04-05 01:20:00,3.48,6.19,19.4,15.6,1.58,2.39,Sunday
2020-04-05 01:21:00,3.48,6.19,19.4,15.6,1.59,2.36,Sunday
2020-04-05 01:22:00,3.48,6.19,19.4,15.6,1.58,2.36,Sunday
2020-04-05 01:23:00,3.77,6.19,19.4,15.6,1.57,2.4,Sunday
2020-04-05 01:24:00,3.48,6.19,19.4,15.6,1.57,2.39,Sunday
2020-04-05 01:25:00,2.61,0.0,19.4,15.6,1.58,2.41,Sunday
2020-04-05 01:26:00,3.48,6.19,19.4,15.6,1.56,2.35,Sunday
2020-04-05 01:27:00,3.19,6.19,19.4,15.6,1.59,2.41,Sunday
2020-04-05 01:28:00,3.19,6.19,19.4,15.6,1.57,2.35,Sunday
2020-04-05 01:29:00,3.48,6.19,19.4,15.6,1.57,2.36,Sunday
2020-04-05 01:30:00,3.77,6.19,19.4,15.6,1.58,2.41,Sunday
2020-04-05 01:31:00,4.06,6.19,19.4,15.7,1.58,2.37,Sunday
2020-04-05 01:32:00,4.35,6.19,19.3,15.7,1.56,2.38,Sunday
2020-04-05 01:33:00,4.35,6.19,19.3,15.6,1.59,2.38,Sunday
2020-04-05 01:34:00,4.06,6.19,19.3,15.7,1.58,2.42,Sunday
