day,count
20200101,1309913
20200102,378801
20200103,379629
20200104,765968
20200105,653543
20200106,231223
20200107,231828
20200108,331306
20200109,283190
20200110,321578
20200111,724229
20200112,650394
20200113,195502
20200114,187295
20200115,274067
20200116,243672
20200117,269688
20200118,594621
20200119,529614
20200120,173852
20200121,165941
20200122,448088
20200123,598784
20200124,967143
20200125,1251581
20200126,1428441
20200127,1200041
20200128,363504
20200129,440995
20200130,244689
20200131,265964
20200201,437651
20200202,346722
20200203,125555
20200204,110166
20200205,226729
20200206,198135
20200207,216087
20200208,412399
20200209,386139
20200210,161309
20200211,163095
20200212,295897
20200213,282292
20200214,348529
20200215,611482
20200216,566230
20200217,210057
20200218,213522
20200219,276651
20200220,211709
20200221,189839
20200222,285292
20200223,206727
20200224,74143
20200225,71806
20200226,124654
20200227,77542
20200228,84338
20200229,148081
20200301,123757
20200302,59907
20200303,56646
20200304,57602
20200305,53500
20200306,56969
20200307,109044
20200308,93523
20200309,41129
20200310,40662
20200311,45187
20200312,37020
20200313,40822
20200314,84251
20200315,73813
20200316,28707
20200317,28124
20200318,30247
20200319,28021
20200320,31507
20200321,58827
20200322,50428
20200323,19324
20200324,19235
20200325,48421
20200326,28426
20200327,28948
20200328,45906
20200329,39712
20200330,18922
20200331,25685
