NO,REG_DATE,PM2.5,PM10.0,Temperature,Huminity,TVOC,CO2,weekday
4321,2020-04-05 00:00:00,4.64,6.19,19.6,15.4,1.54,2.35,Sunday
4322,2020-04-05 00:01:00,4.93,6.19,19.6,15.3,1.54,2.4,Sunday
4323,2020-04-05 00:02:00,4.93,6.19,19.6,15.3,1.55,2.39,Sunday
4324,2020-04-05 00:03:00,4.06,6.19,19.7,15.3,1.55,2.38,Sunday
4325,2020-04-05 00:04:00,3.48,6.19,19.6,15.4,1.53,2.33,Sunday
4326,2020-04-05 00:05:00,3.19,6.19,19.6,15.3,1.56,2.34,Sunday
4327,2020-04-05 00:06:00,3.48,6.19,19.6,15.3,1.54,2.38,Sunday
4328,2020-04-05 00:07:00,3.77,6.19,19.6,15.4,1.54,2.35,Sunday
4329,2020-04-05 00:08:00,3.77,6.19,19.6,15.4,1.56,2.4,Sunday
4330,2020-04-05 00:09:00,4.64,6.19,19.6,15.4,1.55,2.4,Sunday
4331,2020-04-05 00:10:00,4.64,6.19,19.6,15.3,1.55,2.33,Sunday
4332,2020-04-05 00:11:00,3.77,6.19,19.6,15.4,1.54,2.4,Sunday
4333,2020-04-05 00:12:00,2.61,0.0,19.6,15.3,1.54,2.42,Sunday
4334,2020-04-05 00:13:00,4.06,6.19,19.6,15.4,1.55,2.37,Sunday
4335,2020-04-05 00:14:00,3.77,6.19,19.6,15.4,1.53,2.38,Sunday
4336,2020-04-05 00:15:00,3.77,6.19,19.6,15.3,1.53,2.4,Sunday
4337,2020-04-05 00:16:00,2.9,6.19,19.6,15.3,1.54,2.37,Sunday
4338,2020-04-05 00:17:00,4.35,6.19,19.6,15.4,1.54,2.4,Sunday
4339,2020-04-05 00:18:00,3.77,6.19,19.6,15.3,1.55,2.41,Sunday
4340,2020-04-05 00:19:00,3.48,6.19,19.6,15.4,1.56,2.35,Sunday
4341,2020-04-05 00:20:00,3.48,6.19,19.7,15.3,1.55,2.35,Sunday
4342,2020-04-05 00:21:00,4.35,6.19,19.6,15.3,1.54,2.39,Sunday
4343,2020-04-05 00:22:00,3.48,6.19,19.6,15.3,1.52,2.39,Sunday
4344,2020-04-05 00:23:00,3.19,6.19,19.6,15.3,1.56,2.38,Sunday
4345,2020-04-05 00:24:00,4.06,6.19,19.6,15.3,1.56,2.34,Sunday
4346,2020-04-05 00:25:00,3.19,6.19,19.6,15.4,1.56,2.39,Sunday
4347,2020-04-05 00:26:00,3.48,6.19,19.6,15.4,1.55,2.44,Sunday
4348,2020-04-05 00:27:00,3.77,6.19,19.6,15.4,1.55,2.38,Sunday
4349,2020-04-05 00:28:00,3.48,6.19,19.6,15.4,1.54,2.39,Sunday
4350,2020-04-05 00:29:00,4.64,6.19,19.6,15.4,1.56,2.36,Sunday
4351,2020-04-05 00:30:00,5.51,6.19,19.6,15.4,1.57,2.34,Sunday
4352,2020-04-05 00:31:00,4.93,6.19,19.6,15.3,1.57,2.36,Sunday
4353,2020-04-05 00:32:00,5.22,6.19,19.6,15.3,1.54,2.35,Sunday
4354,2020-04-05 00:33:00,6.67,6.19,19.5,15.3,1.54,2.33,Sunday
4355,2020-04-05 00:34:00,5.8,6.19,19.6,15.4,1.53,2.35,Sunday
4356,2020-04-05 00:35:00,6.09,6.19,19.6,15.3,1.54,2.39,Sunday
4357,2020-04-05 00:36:00,4.06,6.19,19.6,15.3,1.54,2.35,Sunday
4358,2020-04-05 00:37:00,4.64,6.19,19.6,15.3,1.57,2.36,Sunday
4359,2020-04-05 00:38:00,4.35,6.19,19.5,15.3,1.56,2.37,Sunday
4360,2020-04-05 00:39:00,4.06,6.19,19.5,15.3,1.55,2.37,Sunday
4361,2020-04-05 00:40:00,2.9,0.0,19.5,15.4,1.56,2.32,Sunday
4362,2020-04-05 00:41:00,2.9,6.19,19.6,15.3,1.56,2.29,Sunday
4363,2020-04-05 00:42:00,3.48,6.19,19.6,15.3,1.53,2.36,Sunday
4364,2020-04-05 00:43:00,3.77,6.19,19.6,15.3,1.54,2.35,Sunday
4365,2020-04-05 00:44:00,4.64,6.19,19.6,15.3,1.56,2.34,Sunday
4366,2020-04-05 00:45:00,3.77,6.19,19.6,15.4,1.57,2.32,Sunday
4367,2020-04-05 00:46:00,3.48,6.19,19.6,15.3,1.58,2.35,Sunday
4368,2020-04-05 00:47:00,4.06,6.19,19.6,15.3,1.58,2.36,Sunday
4369,2020-04-05 00:48:00,3.48,6.19,19.6,15.4,1.62,2.39,Sunday
4370,2020-04-05 00:49:00,3.48,6.19,19.6,15.4,1.62,2.34,Sunday
4371,2020-04-05 00:50:00,4.06,6.19,19.6,15.4,1.62,2.39,Sunday
4372,2020-04-05 00:51:00,3.48,6.19,19.6,15.3,1.61,2.38,Sunday
4373,2020-04-05 00:52:00,4.35,6.19,19.6,15.4,1.62,2.38,Sunday
4374,2020-04-05 00:53:00,3.48,6.19,19.6,15.4,1.63,2.36,Sunday
4375,2020-04-05 00:54:00,3.77,6.19,19.6,15.4,1.62,2.4,Sunday
4376,2020-04-05 00:55:00,3.19,6.19,19.6,15.4,1.61,2.37,Sunday
4377,2020-04-05 00:56:00,3.77,6.19,19.5,15.4,1.62,2.37,Sunday
4378,2020-04-05 00:57:00,4.35,6.19,19.5,15.4,1.61,2.35,Sunday
4379,2020-04-05 00:58:00,3.48,6.19,19.5,15.5,1.61,2.38,Sunday
4380,2020-04-05 00:59:00,4.06,6.19,19.5,15.5,1.6,2.43,Sunday
4381,2020-04-05 01:00:00,4.35,6.19,19.5,15.5,1.62,2.4,Sunday
4382,2020-04-05 01:01:00,4.93,6.19,19.5,15.5,1.58,2.37,Sunday
4383,2020-04-05 01:02:00,4.93,6.19,19.5,15.5,1.58,2.39,Sunday
4384,2020-04-05 01:03:00,4.06,6.19,19.5,15.5,1.58,2.37,Sunday
4385,2020-04-05 01:04:00,3.77,6.19,19.5,15.4,1.58,2.36,Sunday
4386,2020-04-05 01:05:00,4.35,6.19,19.5,15.4,1.58,2.39,Sunday
4387,2020-04-05 01:06:00,3.77,6.19,19.5,15.5,1.58,2.33,Sunday
4388,2020-04-05 01:07:00,4.06,6.19,19.5,15.5,1.59,2.37,Sunday
4389,2020-04-05 01:08:00,4.06,6.19,19.5,15.4,1.58,2.39,Sunday
4390,2020-04-05 01:09:00,3.48,6.19,19.5,15.5,1.59,2.35,Sunday
4391,2020-04-05 01:10:00,3.48,6.19,19.5,15.5,1.58,2.37,Sunday
4392,2020-04-05 01:11:00,3.19,6.19,19.5,15.5,1.59,2.46,Sunday
4393,2020-04-05 01:12:00,3.48,6.19,19.5,15.5,1.58,2.38,Sunday
4394,2020-04-05 01:13:00,3.19,6.19,19.5,15.6,1.59,2.4,Sunday
4395,2020-04-05 01:14:00,3.19,6.19,19.5,15.5,1.57,2.35,Sunday
4396,2020-04-05 01:15:00,3.48,6.19,19.5,15.5,1.59,2.37,Sunday
4397,2020-04-05 01:16:00,3.19,6.19,19.5,15.5,1.61,2.39,Sunday
4398,2020-04-05 01:17:00,4.06,6.19,19.4,15.6,1.59,2.39,Sunday
4399,2020-04-05 01:18:00,4.64,6.19,19.5,15.6,1.6,2.33,Sunday
4400,2020-04-05 01:19:00,5.51,6.19,19.4,15.6,1.58,2.39,Sunday
4401,2020-04-05 01:20:00,3.48,6.19,19.4,15.6,1.58,2.39,Sunday
4402,2020-04-05 01:21:00,3.48,6.19,19.4,15.6,1.59,2.36,Sunday
4403,2020-04-05 01:22:00,3.48,6.19,19.4,15.6,1.58,2.36,Sunday
4404,2020-04-05 01:23:00,3.77,6.19,19.4,15.6,1.57,2.4,Sunday
4405,2020-04-05 01:24:00,3.48,6.19,19.4,15.6,1.57,2.39,Sunday
4406,2020-04-05 01:25:00,2.61,0.0,19.4,15.6,1.58,2.41,Sunday
4407,2020-04-05 01:26:00,3.48,6.19,19.4,15.6,1.56,2.35,Sunday
4408,2020-04-05 01:27:00,3.19,6.19,19.4,15.6,1.59,2.41,Sunday
4409,2020-04-05 01:28:00,3.19,6.19,19.4,15.6,1.57,2.35,Sunday
4410,2020-04-05 01:29:00,3.48,6.19,19.4,15.6,1.57,2.36,Sunday
4411,2020-04-05 01:30:00,3.77,6.19,19.4,15.6,1.58,2.41,Sunday
4412,2020-04-05 01:31:00,4.06,6.19,19.4,15.7,1.58,2.37,Sunday
4413,2020-04-05 01:32:00,4.35,6.19,19.3,15.7,1.56,2.38,Sunday
4414,2020-04-05 01:33:00,4.35,6.19,19.3,15.6,1.59,2.38,Sunday
4415,2020-04-05 01:34:00,4.06,6.19,19.3,15.7,1.58,2.42,Sunday
4416,2020-04-05 01:35:00,4.64,6.19,19.3,15.7,1.6,2.45,Sunday
4417,2020-04-05 01:36:00,3.77,6.19,19.3,15.6,1.57,2.37,Sunday
4418,2020-04-05 01:37:00,3.19,6.19,19.3,15.6,1.6,2.4,Sunday
4419,2020-04-05 01:38:00,3.19,6.19,19.3,15.7,1.6,2.38,Sunday
4420,2020-04-05 01:39:00,3.19,6.19,19.4,15.7,1.58,2.35,Sunday
4421,2020-04-05 01:40:00,3.77,6.19,19.4,15.6,1.58,2.37,Sunday
4422,2020-04-05 01:41:00,3.19,6.19,19.4,15.7,1.58,2.44,Sunday
4423,2020-04-05 01:42:00,3.77,6.19,19.4,15.6,1.59,2.37,Sunday
4424,2020-04-05 01:43:00,3.48,6.19,19.4,15.7,1.59,2.37,Sunday
4425,2020-04-05 01:44:00,3.48,6.19,19.4,15.6,1.56,2.44,Sunday
4426,2020-04-05 01:45:00,3.48,6.19,19.3,15.7,1.59,2.38,Sunday
4427,2020-04-05 01:46:00,4.93,6.19,19.3,15.6,1.56,2.39,Sunday
4428,2020-04-05 01:47:00,5.8,6.19,19.3,15.6,1.59,2.42,Sunday
4429,2020-04-05 01:48:00,4.93,6.19,19.3,15.6,1.56,2.39,Sunday
4430,2020-04-05 01:49:00,4.06,6.19,19.3,15.6,1.59,2.36,Sunday
4431,2020-04-05 01:50:00,3.48,6.19,19.3,15.6,1.57,2.41,Sunday
4432,2020-04-05 01:51:00,3.48,6.19,19.3,15.6,1.6,2.4,Sunday
4433,2020-04-05 01:52:00,3.77,6.19,19.3,15.7,1.6,2.4,Sunday
4434,2020-04-05 01:53:00,3.48,6.19,19.3,15.7,1.57,2.39,Sunday
4435,2020-04-05 01:54:00,3.19,6.19,19.3,15.7,1.57,2.36,Sunday
4436,2020-04-05 01:55:00,3.77,6.19,19.3,15.7,1.56,2.34,Sunday
4437,2020-04-05 01:56:00,3.48,6.19,19.3,15.6,1.55,2.37,Sunday
4438,2020-04-05 01:57:00,3.19,6.19,19.3,15.7,1.56,2.41,Sunday
4439,2020-04-05 01:58:00,3.77,6.19,19.3,15.7,1.58,2.4,Sunday
4440,2020-04-05 01:59:00,4.06,6.19,19.3,15.7,1.58,2.39,Sunday
4441,2020-04-05 02:00:00,5.22,6.19,19.3,15.6,1.55,2.39,Sunday
