건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2007,2020,역삼동,"160,000",래미안펜타빌,10,0,1,157.37,713-7,11680,3
2004,2020,역삼동,"60,000",역삼동우정에쉐르1,10,0,4,71.78,826-29,11680,5
2008,2020,역삼동,"120,000",역삼2차아이파크,10,50,5,84.587,765-32,11680,9
2017,2020,역삼동,"30,000",프리빌리지,10,54,5,49.98,723-16,11680,2
1997,2020,역삼동,"5,000",대림역삼,10,210,5,59.66,761-10,11680,8
2003,2020,역삼동,"20,000",진넥스빌2,10,0,6,23.85,706-24,11680,11
2006,2020,역삼동,"122,800",개나리래미안,10,0,6,129.96,754,11680,3
2014,2020,역삼동,"17,800",이스턴오피스텔,10,0,6,14.92,735-15,11680,9
2005,2020,역삼동,"50,000",e-편한세상,10,140,6,59.606,755-4,11680,16
2005,2020,역삼동,"77,700",e-편한세상,10,0,6,59.606,755-4,11680,22
2001,2020,역삼동,"27,000",한화진넥스빌,10,0,6,39.2,706-20,11680,8
2011,2020,역삼동,"70,000",래미안그레이튼(진달래2차),10,120,7,84.87,762-3,11680,1
1999,2020,역삼동,"17,850",현대휴먼터치빌,10,0,7,25.92,606-18,11680,16
2006,2020,역삼동,"130,000",개나리래미안,10,0,7,84.93,754,11680,5
2017,2020,역삼동,"51,450",프리빌리지,10,0,7,44.76,723-16,11680,5
2017,2020,역삼동,"51,450",프리빌리지,10,0,7,44.76,723-16,11680,5
2006,2020,역삼동,"37,000",역삼 I'PARK,10,0,7,28.246,713-11,11680,3
2014,2020,역삼동,"80,000",테헤란아이파크,10,160,7,92.6232,709-5,11680,1
1996,2020,역삼동,"26,200",한스빌(836),10,0,8,41.95,836,11680,4
2005,2020,역삼동,"52,000",e-편한세상,10,88,8,59.606,755-4,11680,9
2007,2020,역삼동,"70,000",쎄비앙 102동,10,0,8,99.24,778-5,11680,4
2002,2020,역삼동,"85,000",경남아너스빌,10,0,8,84.688,722,11680,13
2006,2020,역삼동,"50,000",역삼푸르지오,10,120,8,59.8848,754-1,11680,15
2013,2020,역삼동,"1,000",(817-25),10,90,8,20.7,817-25,11680,3
2006,2020,역삼동,"40,000",역삼푸르지오,10,0,9,59.8848,754-1,11680,7
2008,2020,역삼동,"71,400",역삼2차아이파크,10,0,9,59.368,765-32,11680,5
2005,2020,역삼동,"79,800",e-편한세상,10,0,9,59.606,755-4,11680,13
2012,2020,역삼동,"145,000",개나리SK뷰,10,0,9,84.99,716-3,11680,22
2005,2020,역삼동,"76,600",역삼래미안,10,0,9,59.4,757,11680,2
2006,2020,역삼동,"80,000",개나리 푸르지오,10,200,9,84.9876,755-1,11680,6
2005,2020,역삼동,"78,750",e-편한세상,10,0,10,59.606,755-4,11680,5
2016,2020,역삼동,"110,000",역삼자이,10,0,10,84.993,711-3,11680,9
2016,2020,역삼동,"130,200",역삼자이,10,0,10,114.5958,711-3,11680,13
2016,2020,역삼동,"125,000",역삼자이,10,30,10,114.5958,711-3,11680,15
2005,2020,역삼동,"70,000",e-편한세상,10,50,10,59.606,755-4,11680,6
2005,2020,역삼동,"71,400",역삼래미안,10,0,10,59.53,757,11680,3
2009,2020,역삼동,"10,000",래미안그레이튼,10,300,10,70.98,763-16,11680,5
2009,2020,역삼동,"93,450",래미안그레이튼,10,0,10,70.98,763-16,11680,4
2005,2020,역삼동,"110,000",e-편한세상,10,0,12,59.606,755-4,11680,4
2006,2020,역삼동,"125,000",역삼푸르지오,10,0,12,84.9097,754-1,11680,6
2006,2020,역삼동,"50,000",개나리래미안,10,220,13,114.65,754,11680,10
