건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2003,2020,역삼동,"5,000",오투빌(파크앤스위트),7,200,1,80.75,830-46,11680,4
2005,2020,역삼동,"55,000",(828-21),7,0,2,81.33,828-21,11680,5
1998,2020,역삼동,"55,000",동부센트레빌,7,140,2,84.97,716,11680,9
2010,2020,역삼동,"140,000",래미안그레이튼(진달래2차),7,0,2,121.54,762-3,11680,32
2006,2020,역삼동,"115,000",역삼푸르지오,7,0,2,84.9097,754-1,11680,4
2005,2020,역삼동,"65,000",에스케이허브젠,7,0,2,71.91,831-45,11680,6
2010,2020,역삼동,"120,000",래미안그레이튼(진달래2차),7,0,3,84.81,762-3,11680,12
2001,2020,역삼동,"36,000",한화진넥스빌,7,0,3,51.08,706-20,11680,21
2001,2020,역삼동,"10,000",한화진넥스빌,7,60,3,39.2,706-20,11680,26
2007,2020,역삼동,"100,000",래미안펜타빌,7,200,3,157.37,713-7,11680,2
2001,2020,역삼동,"25,200",한화진넥스빌,7,0,3,39.2,706-20,11680,20
2005,2020,역삼동,"5,000",역삼래미안,7,235,4,59.53,757,11680,8
2014,2020,역삼동,"20,000",테헤란아이파크,7,255,4,70.8333,709-5,11680,24
2006,2020,역삼동,"175,000",개나리 푸르지오,7,0,4,148.8017,755-1,11680,21
2006,2020,역삼동,"130,000",개나리 푸르지오,7,0,4,84.9876,755-1,11680,13
2006,2020,역삼동,"132,000",역삼 I'PARK,7,0,4,130.156,713-11,11680,3
2002,2020,역삼동,"27,000",대우디오빌,7,0,4,30.03,720-25,11680,18
2012,2020,역삼동,"18,000",요진와이시티미니,7,0,5,12.94,727-9,11680,3
2012,2020,역삼동,"18,000",요진와이시티미니,7,0,5,12.94,727-9,11680,3
2005,2020,역삼동,"51,450",역삼엔스위트1,7,0,6,84.68,656-30,11680,7
2005,2020,역삼동,"49,000",역삼엔스위트1,7,8,6,84.68,656-30,11680,7
2005,2020,역삼동,"10,000",역삼래미안,7,300,6,80.87,757,11680,10
2005,2020,역삼동,"85,000",역삼래미안,7,0,6,59.53,757,11680,7
2012,2020,역삼동,"53,550",강남서해더블루,7,0,6,71.26,796-29,11680,6
1999,2020,역삼동,"19,000",현대휴먼터치빌,7,0,6,25.92,606-18,11680,14
1999,2020,역삼동,"24,000",현대휴먼터치빌,7,0,7,35.88,606-18,11680,10
2006,2020,역삼동,"57,000",프리우스 역삼 102동,7,0,7,84.18,636,11680,7
2018,2020,역삼동,"33,600",이지마루 역삼,7,0,8,26.5,678-27,11680,9
2002,2020,역삼동,"70,000",경남아너스빌,7,0,8,84.688,722,11680,14
2002,2020,역삼동,"55,000",명인갤러리,7,50,8,84.78,729-37,11680,5
2014,2020,역삼동,"17,600",이스턴오피스텔,7,0,9,14.78,735-15,11680,15
2005,2020,역삼동,"69,000",역삼래미안,7,25,9,59.4,757,11680,6
2006,2020,역삼동,"80,000",역삼푸르지오,7,0,9,59.8848,754-1,11680,19
2004,2020,역삼동,"2,000",역삼우정에쉐르2,7,155,9,47.83,707-18,11680,5
2004,2020,역삼동,"23,000",대우디오빌플러스,7,50,10,43.99,824-25,11680,4
2002,2020,역삼동,"10,000",대우디오빌,7,150,10,59.505,720-25,11680,19
2008,2020,역삼동,"5,000",역삼2차아이파크,7,290,10,84.587,765-32,11680,5
2005,2020,역삼동,"68,000",e-편한세상,7,40,10,59.606,755-4,11680,10
