건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1992,2020,분당동,"60,000",샛별마을(동성),7,0,3,101.88,35,41135,4
1993,2020,분당동,"10,000",장안타운(건영),7,50,4,53.72,66,41135,14
1993,2020,분당동,"48,000",샛별마을(라이프),7,0,4,78.52,34,41135,20
1992,2020,분당동,"56,000",샛별마을(동성),7,0,4,84.82,35,41135,15
1993,2020,분당동,"63,000",샛별마을(동성),7,0,4,133.65,35,41135,18
1993,2020,분당동,"75,000",샛별마을(라이프),7,0,4,126.415,34,41135,8
1993,2020,분당동,"57,000",장안타운(건영),7,0,4,101.82,66,41135,9
1993,2020,분당동,"37,000",장안타운(건영),7,0,6,67.73,66,41135,6
1993,2020,분당동,"80,000",샛별마을(삼부),7,0,8,128.09,39,41135,11
1992,2020,분당동,"1,000",샛별마을(라이프),7,90,8,58.17,34,41135,9
1993,2020,분당동,"42,900",샛별마을(라이프),7,0,9,89.8,34,41135,9
1994,2020,분당동,"15,000",샛별마을(우방),7,60,10,57.28,38,41135,3
1992,2020,분당동,"35,000",샛별마을(동성),7,45,10,84.82,35,41135,7
1993,2020,분당동,"60,000",샛별마을(라이프),7,60,11,84.99,34,41135,17
1992,2020,분당동,"10,000",샛별마을(동성),7,0,13,84.82,35,41135,12
1992,2020,분당동,"49,000",샛별마을(삼부),7,30,13,84.6,39,41135,6
1993,2020,분당동,"85,000",샛별마을(동성),7,0,14,133.65,35,41135,8
1993,2020,분당동,"15,000",장안타운(건영),7,80,14,70.68,66,41135,10
1994,2020,분당동,"50,000",장안타운(건영),7,0,16,85,66,41135,14
1992,2020,분당동,"27,200",샛별마을(동성),7,0,17,59.4,35,41135,5
1993,2020,분당동,"40,000",장안타운(건영),7,0,17,70.68,66,41135,4
1994,2020,분당동,"42,000",샛별마을(우방),7,0,18,57.28,38,41135,8
1994,2020,분당동,"45,000",샛별마을(우방),7,0,18,57.28,38,41135,11
1992,2020,분당동,"55,000",샛별마을(라이프),7,0,18,85,34,41135,7
1994,2020,분당동,"42,000",샛별마을(우방),7,0,18,57.28,38,41135,8
1993,2020,분당동,"40,500",장안타운(건영),7,0,18,70.68,66,41135,13
1994,2020,분당동,"67,000",장안타운(건영),7,0,18,162.85,66,41135,3
1993,2020,분당동,"37,000",장안타운(건영),7,0,18,70.68,66,41135,3
1994,2020,분당동,"43,000",장안타운(건영),7,0,18,162.85,66,41135,13
1993,2020,분당동,"80,000",샛별마을(라이프),7,0,20,126.415,34,41135,15
1994,2020,분당동,"9,000",샛별마을(우방),7,140,20,84.99,38,41135,10
1993,2020,분당동,"20,000",샛별마을(동성),7,100,20,133.65,35,41135,2
1992,2020,분당동,"30,000",샛별마을(삼부),7,75,23,84.6,39,41135,8
1994,2020,분당동,"54,000",샛별마을(우방),7,0,23,72.32,38,41135,5
1993,2020,분당동,"60,000",샛별마을(라이프),7,0,24,84.99,34,41135,10
1992,2020,분당동,"65,000",샛별마을(라이프),7,0,24,85,34,41135,2
1993,2020,분당동,"65,000",샛별마을(삼부),7,0,27,128.09,39,41135,1
1993,2020,분당동,"35,000",샛별마을(라이프),7,100,27,126.415,34,41135,1
1992,2020,분당동,"36,000",샛별마을(라이프),7,0,28,58.17,34,41135,8
1992,2020,분당동,"35,000",샛별마을(동성),7,0,28,59.4,35,41135,2
1992,2020,분당동,"45,000",샛별마을(삼부),7,0,28,84.6,39,41135,10
1993,2020,분당동,"17,000",장안타운(건영),7,55,28,70.68,66,41135,5
1994,2020,분당동,"38,000",샛별마을(우방),7,0,30,57.28,38,41135,10
1992,2020,분당동,"30,000",샛별마을(삼부),7,0,30,59.82,39,41135,5
1992,2020,분당동,"54,000",샛별마을(삼부),7,0,30,84.6,39,41135,1
1993,2020,분당동,"30,000",장안타운(건영),7,0,30,53.72,66,41135,2
1993,2020,분당동,"52,000",장안타운(건영),7,0,31,131.55,66,41135,13
1993,2020,수내동,"50,000",파크타운(서안),7,95,1,134.413,52,41135,15
1993,2020,수내동,"20,000",양지마을(5단지)(한양501-514),7,0,1,35.1,24,41135,2
