지역,동,월,일,매매가격,전용면적
서초구, 방배동,1,3,127500,81.39
서초구, 방배동,1,3,209000,121.6356
서초구, 방배동,1,3,197500,244.2
서초구, 방배동,1,7,160000,116.13
서초구, 방배동,1,8,131000,84.94
서초구, 방배동,1,8,180000,190.91
서초구, 방배동,1,9,210000,147.7221
서초구, 방배동,1,11,173000,149.225
서초구, 방배동,1,12,172500,158.82
서초구, 방배동,1,13,100000,122.27
서초구, 방배동,2,1,94000,74.16
서초구, 방배동,2,1,95000,84.97
서초구, 방배동,2,6,102500,59.53
서초구, 방배동,2,6,340000,179.19
서초구, 방배동,2,6,147500,102.93
서초구, 방배동,2,6,119000,84.87
서초구, 방배동,2,8,110000,84.91
서초구, 방배동,2,8,192000,84.9145
서초구, 방배동,2,8,71000,60.12
서초구, 방배동,2,8,140000,120.566
서초구, 방배동,3,2,155000,84.96
서초구, 방배동,3,2,160000,84.94
서초구, 방배동,3,3,127500,80.2
서초구, 방배동,3,5,120000,82.34
서초구, 방배동,3,5,149000,84.9969
서초구, 방배동,3,7,133000,84.87
서초구, 방배동,3,7,33000,28.84
서초구, 방배동,3,12,33200,29.6
서초구, 방배동,3,14,150000,117.19
서초구, 방배동,3,14,119500,80.2
서초구, 방배동,4,1,183400,136.38
서초구, 방배동,4,2,115000,81.39
서초구, 방배동,4,6,104000,65.85
서초구, 방배동,4,7,125000,84.95
서초구, 방배동,4,7,112000,84.99
서초구, 방배동,4,8,138000,133.54
서초구, 방배동,4,9,193000,84.9145
서초구, 방배동,4,11,173000,114.74
서초구, 방배동,4,13,142700,84.91
서초구, 방배동,4,15,180000,139.74
서초구, 방배동,5,1,147500,84.376
서초구, 방배동,5,2,89700,59.49
서초구, 방배동,5,4,102000,103.65
서초구, 방배동,5,5,172000,133.31
서초구, 방배동,5,7,80000,59.4
서초구, 방배동,5,7,151500,84.96
서초구, 방배동,5,8,137000,125.52
서초구, 방배동,5,9,134000,84.91
서초구, 방배동,5,9,190000,84.97
서초구, 방배동,5,10,189000,84.97
서초구, 방배동,6,1,70700,52.18
서초구, 방배동,6,5,160000,88.26
서초구, 방배동,6,5,34000,29.6
서초구, 방배동,6,5,170000,127.61
서초구, 방배동,6,5,74300,84.77
서초구, 방배동,6,5,105800,67.47
서초구, 방배동,6,6,149800,84.94
서초구, 방배동,6,6,157500,124.569
서초구, 방배동,6,6,178000,164.96
서초구, 방배동,6,6,153000,241.81
서초구, 방배동,7,1,133000,113.36
서초구, 방배동,7,1,149800,59.97
서초구, 방배동,7,2,146000,125.52
서초구, 방배동,7,3,85000,51.84
서초구, 방배동,7,3,280000,216.7346
서초구, 방배동,7,3,202000,164.25
서초구, 방배동,7,4,195000,164.2
서초구, 방배동,7,4,79000,59.37
서초구, 방배동,7,4,140000,108.98
서초구, 방배동,7,4,114500,92.93
서초구, 방배동,8,1,180000,121.0751
서초구, 방배동,8,1,180000,121.0751
서초구, 방배동,8,2,205000,164.12
서초구, 방배동,8,3,140000,80.2
서초구, 방배동,8,4,169000,89.844
서초구, 방배동,8,5,61500,45.34
서초구, 방배동,8,7,340000,202.4
서초구, 방배동,8,8,164000,84.78
서초구, 방배동,8,8,165000,214.32
서초구, 방배동,8,8,64100,83.11
서초구, 방배동,9,1,400000,244.92
서초구, 방배동,9,2,280000,198.5315
서초구, 방배동,9,3,41000,39.31
서초구, 방배동,9,3,163000,128.41
서초구, 방배동,9,4,135000,81.39
서초구, 방배동,9,4,149500,80.2
서초구, 방배동,9,5,117000,117.53
