지역,동,월,일,매매가격,전용면적
서초구, 방배동,1,3,161500,243.34
서초구, 방배동,1,4,174000,163.36
서초구, 방배동,1,5,135000,114.28
서초구, 방배동,1,6,220000,185.46
서초구, 방배동,1,10,280000,216.15
서초구, 방배동,1,12,109000,59.94
서초구, 방배동,1,26,154000,125.58
서초구, 방배동,1,29,74500,115.19
서초구, 방배동,1,31,115000,84.91
서초구, 양재동,1,4,105000,84.88
서초구, 방배동,2,8,180000,230.72
서초구, 방배동,2,10,34700,29.6
서초구, 방배동,2,12,255000,272.74
서초구, 방배동,2,13,266250,216.7346
서초구, 방배동,2,14,32000,29.6
서초구, 방배동,2,17,163000,178.47
서초구, 방배동,2,21,86000,59.4
서초구, 방배동,2,21,103500,117.26
서초구, 우면동,2,25,90000,84.61
서초구, 잠원동,2,1,170000,96.48
서초구, 방배동,3,9,190000,157.559
서초구, 방배동,3,16,100000,99.7
서초구, 방배동,3,18,219000,167.01
서초구, 방배동,3,25,109500,84.91
서초구, 양재동,3,12,58000,77.28
서초구, 양재동,3,14,85000,58.21
서초구, 양재동,3,19,84500,84.92
서초구, 우면동,3,16,85000,84.96
서초구, 우면동,3,21,74500,59.98
서초구, 우면동,3,26,73000,52.47
서초구, 방배동,4,1,145000,127.31
서초구, 방배동,4,3,125100,59.9902
서초구, 방배동,4,5,180000,175.14
서초구, 방배동,4,8,223000,223.35
서초구, 방배동,4,9,194000,164.25
서초구, 방배동,4,9,111500,84.96
서초구, 방배동,4,9,104000,84.94
서초구, 방배동,4,11,140000,187.34
서초구, 방배동,4,11,145000,127.61
서초구, 방배동,4,15,96600,84.91
서초구, 방배동,5,8,40000,39.31
서초구, 방배동,5,8,122000,59.905
서초구, 방배동,5,8,68500,112.74
서초구, 방배동,5,11,120000,107.62
서초구, 방배동,5,13,135000,261.49
서초구, 방배동,5,13,149000,127.61
서초구, 방배동,5,14,87000,77.74
서초구, 방배동,5,15,230000,191.297
서초구, 방배동,5,16,90000,117.19
서초구, 방배동,5,16,108000,109.27
서초구, 방배동,6,1,141000,84.94
서초구, 방배동,6,3,110000,82.71
서초구, 방배동,6,3,132000,84.78
서초구, 방배동,6,3,98000,80.2
서초구, 방배동,6,4,110000,82.71
서초구, 방배동,6,4,209000,121.6356
서초구, 방배동,6,4,119000,221.8
서초구, 방배동,6,5,160000,84.9383
서초구, 방배동,6,7,130000,95.66
서초구, 방배동,6,10,119000,254.45
서초구, 방배동,7,1,161000,133.31
서초구, 방배동,7,1,274000,204.41
서초구, 방배동,7,1,133000,133.54
서초구, 방배동,7,2,173000,129.76
서초구, 방배동,7,2,125000,103.34
서초구, 방배동,7,3,139500,84.96
서초구, 방배동,7,3,126000,100.82
서초구, 방배동,7,3,106800,80.2
서초구, 방배동,7,3,140000,88.26
서초구, 방배동,7,3,102700,59.94
서초구, 방배동,8,1,142000,124.27
서초구, 방배동,8,2,119000,104.49
서초구, 방배동,8,2,144000,59.94
서초구, 방배동,8,2,155000,149.225
서초구, 방배동,8,3,98000,92.93
서초구, 방배동,8,3,133500,124.27
서초구, 방배동,8,3,110000,129.159
서초구, 방배동,8,3,126000,102.93
서초구, 방배동,8,5,178000,155.2314
서초구, 방배동,8,5,196000,163.588
서초구, 방배동,9,2,109500,59.94
서초구, 방배동,9,2,93000,74.87
서초구, 방배동,9,4,178000,163.36
서초구, 방배동,9,5,105000,84.95
서초구, 방배동,9,6,125000,84.99
서초구, 방배동,9,6,190000,164.25
서초구, 방배동,9,7,112000,59.94
서초구, 방배동,9,7,185000,157.559
서초구, 방배동,9,7,165000,244.84
서초구, 방배동,9,8,84000,95.79
강남구, 역삼동,1,3,132000,59.606
강남구, 역삼동,1,5,61000,59.81
강남구, 역삼동,1,11,132000,59.606
강남구, 역삼동,1,16,19500,15.25
강남구, 역삼동,1,23,130000,84.641
강남구, 역삼동,1,26,172500,84.991
강남구, 역삼동,1,31,180000,165.23
강남구, 개포동,1,9,88200,39.53
강남구, 개포동,1,12,197000,133.46
강남구, 개포동,1,13,102000,132.63
강남구, 역삼동,2,1,35700,43.27
강남구, 역삼동,2,1,126000,59.4
강남구, 역삼동,2,15,28000,35.88
강남구, 역삼동,2,19,58000,52.01
강남구, 개포동,2,8,162000,50.64
강남구, 개포동,2,16,130000,60.13
강남구, 개포동,2,16,130500,60.76
강남구, 개포동,2,16,153500,74.25
강남구, 개포동,2,23,134500,61.19
강남구, 개포동,2,24,114000,53.46
강남구, 역삼동,3,11,30000,28.44
강남구, 역삼동,3,11,29000,30.03
강남구, 역삼동,3,18,34000,39.89
강남구, 역삼동,3,20,135000,59.947
강남구, 역삼동,3,26,68000,75.35
강남구, 역삼동,3,28,125000,59.606
강남구, 역삼동,3,30,21000,23.85
강남구, 개포동,3,3,118000,53.06
강남구, 개포동,3,7,165000,83.7
강남구, 개포동,3,9,185000,58.08
