년,월,지역명,항목,경보단계,농도(㎍/㎥)
2019,01,전북,초미세먼지,주의보,91
2019,01,전북,미세먼지,주의보,150
2019,01,전북,초미세먼지,주의보,92
2019,01,전북,초미세먼지,주의보,99
2019,01,전북,초미세먼지,주의보,81
2019,01,전북,초미세먼지,주의보,80
2019,01,전북,초미세먼지,주의보,76
2019,01,경북,초미세먼지,주의보,81
2019,01,전북,초미세먼지,주의보,87
2019,02,전북,미세먼지,주의보,163
2019,02,경기,초미세먼지,주의보,79
2019,02,충남,미세먼지,주의보,152
2019,02,인천,초미세먼지,주의보,75
2019,02,전북,미세먼지,주의보,156
2019,02,경남,미세먼지,주의보,155
2019,02,인천,미세먼지,주의보,152
2019,02,전북,미세먼지,주의보,155
2019,02,경북,미세먼지,주의보,170
2019,02,전북,미세먼지,주의보,157
2019,02,전북,초미세먼지,주의보,81
2019,02,전북,초미세먼지,주의보,75
2019,02,전북,초미세먼지,주의보,91
2019,02,전북,초미세먼지,주의보,93
2019,02,전북,초미세먼지,주의보,84
2019,02,전북,초미세먼지,주의보,95
2019,02,전북,초미세먼지,주의보,81
2019,02,전북,초미세먼지,주의보,99
2019,02,대전,초미세먼지,주의보,77
2019,02,전북,초미세먼지,주의보,99
2019,02,경기,초미세먼지,주의보,78
2019,02,충북,초미세먼지,주의보,101
2019,02,서울,초미세먼지,주의보,83
2019,02,충북,초미세먼지,주의보,113
2019,02,강원,초미세먼지,주의보,85
2019,02,경기,초미세먼지,주의보,83
2019,02,경기,초미세먼지,주의보,79
2019,02,전북,초미세먼지,주의보,87
2019,02,충북,초미세먼지,주의보,93
2019,02,대전,초미세먼지,주의보,77
2019,02,전북,초미세먼지,주의보,92
2019,02,충남,초미세먼지,주의보,84
2019,02,충북,초미세먼지,주의보,84
2019,02,충북,초미세먼지,주의보,77
2019,02,전북,초미세먼지,주의보,75
2019,02,전북,초미세먼지,주의보,78
2019,02,경기,초미세먼지,주의보,75
2019,02,전북,초미세먼지,주의보,82
2019,02,전북,초미세먼지,주의보,79
2019,02,충남,초미세먼지,주의보,79
2019,02,충북,초미세먼지,주의보,79
2019,02,전북,초미세먼지,주의보,77
2019,02,경기,초미세먼지,주의보,81
2019,02,전북,초미세먼지,주의보,94
2019,02,전북,초미세먼지,주의보,77
2019,02,전북,초미세먼지,주의보,82
2019,02,전북,초미세먼지,주의보,82
2019,02,충북,초미세먼지,주의보,78
2019,02,부산,초미세먼지,주의보,78
2019,02,대전,초미세먼지,주의보,79
2019,02,경기,초미세먼지,주의보,77
2019,02,대구,초미세먼지,주의보,79
2019,02,세종,초미세먼지,주의보,77
2019,02,경북,초미세먼지,주의보,82
2019,02,전북,초미세먼지,주의보,87
2019,02,전북,초미세먼지,주의보,98
2019,02,광주,초미세먼지,주의보,79
2019,02,강원,초미세먼지,주의보,77
2019,02,충북,미세먼지,주의보,150
2019,02,전북,초미세먼지,주의보,89
2019,02,서울,초미세먼지,주의보,82
2019,02,전북,초미세먼지,주의보,99
2019,02,경기,초미세먼지,주의보,83
2019,02,전북,초미세먼지,주의보,99
2019,02,대전,초미세먼지,주의보,80
2019,02,전북,초미세먼지,주의보,86
2019,02,전북,초미세먼지,주의보,88
2019,02,전북,초미세먼지,주의보,83
2019,02,전북,초미세먼지,주의보,86
2019,02,전북,초미세먼지,주의보,87
2019,02,충남,초미세먼지,주의보,75
2019,02,전북,초미세먼지,주의보,80
2019,02,전북,초미세먼지,주의보,82
2019,02,전북,초미세먼지,주의보,75
2019,02,대구,초미세먼지,주의보,86
2019,02,전북,초미세먼지,주의보,84
2019,02,전북,초미세먼지,주의보,85
2019,02,인천,초미세먼지,주의보,81
2019,02,경기,초미세먼지,주의보,90
2019,02,전북,초미세먼지,주의보,79
2019,02,전북,초미세먼지,주의보,76
2019,02,서울,초미세먼지,주의보,85
2019,02,경기,초미세먼지,주의보,89
2019,02,전북,초미세먼지,주의보,86
2019,02,전북,초미세먼지,주의보,95
2019,02,전북,초미세먼지,주의보,93
2019,02,경기,초미세먼지,주의보,79
2019,02,전북,초미세먼지,주의보,83
2019,02,전북,초미세먼지,주의보,77
2019,02,세종,초미세먼지,주의보,77
2019,02,충북,초미세먼지,주의보,75
2019,02,충북,초미세먼지,주의보,84
2019,02,전북,초미세먼지,주의보,94
2019,02,전북,초미세먼지,주의보,82
2019,02,전북,초미세먼지,주의보,89
2019,02,전북,초미세먼지,주의보,79
2019,02,강원,초미세먼지,주의보,81
2019,02,경남,초미세먼지,주의보,78
2019,02,전북,초미세먼지,주의보,78
2019,02,전북,초미세먼지,주의보,77
2019,02,전북,초미세먼지,주의보,105
2019,02,경남,초미세먼지,주의보,78
2019,02,전북,미세먼지,주의보,183
2019,02,전북,미세먼지,주의보,179
2019,02,전북,초미세먼지,주의보,90
