년,월,일,일별누적관객수(명),일별누적매출(원)
2019,01,01,1123339,9982920400
2019,01,02,328080,2623479600
2019,01,03,359292,2814585300
2019,01,04,366547,3184993145
2019,01,05,787563,6864900903
2019,01,06,697862,6071672150
2019,01,07,230595,1835167450
2019,01,08,231542,1835080350
2019,01,09,363192,2897090700
2019,01,10,392997,3081951460
2019,01,11,421779,3663730727
2019,01,12,949129,8251885534
2019,01,13,901899,7844941270
2019,01,14,305928,2454444700
2019,01,15,309249,2460207520
2019,01,16,317046,2484721390
2019,01,17,318846,2562728330
2019,01,18,344692,3025502168
2019,01,19,752127,6586427064
2019,01,20,699108,6111772910
2019,01,21,239698,1913018890
2019,01,22,224404,1759586450
2019,01,23,491379,3954653250
2019,01,24,440461,3545564600
2019,01,25,488821,4351212808
2019,01,26,1288152,11515788542
2019,01,27,1287884,11457534070
2019,01,28,490692,4033153700
2019,01,29,454474,3690596080
2019,01,30,997659,6181883090
2019,01,31,626869,5030967470
2019,02,01,732080,6488757518
2019,02,02,1544969,13553403125
2019,02,03,1590350,14096857210
2019,02,04,1373274,12342135880
2019,02,05,1690157,15705239360
2019,02,06,1788947,16043064900
2019,02,07,707482,5779095570
2019,02,08,642747,5731054264
2019,02,09,1269898,11239926465
2019,02,10,1111697,9776201610
2019,02,11,347543,2821872690
2019,02,12,336336,2671223120
2019,02,13,382757,3042146190
2019,02,14,482963,3827299880
2019,02,15,480607,4132477009
2019,02,16,973994,8410815466
2019,02,17,895177,7716295400
2019,02,18,317622,2526953060
2019,02,19,341097,2623613000
2019,02,20,448188,3472305470
2019,02,21,383117,3004616450
2019,02,22,444929,3793250136
2019,02,23,883355,7602762807
2019,02,24,812869,6991847840
2019,02,25,316079,2484154990
2019,02,26,306762,2374924310
2019,02,27,603576,3589928580
2019,02,28,412214,3163436400
2019,03,01,848500,7267821971
2019,03,02,679337,5904651554
2019,03,03,526029,4565250500
2019,03,04,156716,1254260300
2019,03,05,138680,1107296050
2019,03,06,536987,4568640260
2019,03,07,383287,3246869270
2019,03,08,495451,4604095309
2019,03,09,1185732,10685915311
2019,03,10,1025191,9145498920
2019,03,11,226717,1917467530
2019,03,12,196940,1644788220
2019,03,13,191326,1608092890
2019,03,14,214901,1808503960
2019,03,15,280529,2581566996
2019,03,16,716140,6471350313
2019,03,17,585300,5234514900
2019,03,18,155080,1270501830
2019,03,19,139682,1163190130
2019,03,20,292120,2419207660
2019,03,21,289863,2395828080
2019,03,22,351846,3201825503
2019,03,23,797495,7208474776
2019,03,24,683442,6146339730
2019,03,25,203253,1676623850
2019,03,26,181434,1479281260
2019,03,27,549195,3311249860
2019,03,28,258262,2141562480
2019,03,29,337498,3039996371
2019,03,30,759360,6772081831
2019,03,31,670188,5883218820
2019,04,01,217092,1726095610
2019,04,02,171217,1391731030
2019,04,03,245947,1988550360
2019,04,04,197467,1599782350
2019,04,05,263898,2346693612
2019,04,06,570149,5053008739
2019,04,07,474080,4168986540
2019,04,08,139659,1134015680
2019,04,09,128767,1047840930
2019,04,10,179605,1450876070
2019,04,11,157316,1268326710
2019,04,12,202866,1765042437
2019,04,13,344195,3041333399
2019,04,14,351167,3120283220
2019,04,15,109701,881120630
2019,04,16,115916,904992760
2019,04,17,114146,908538270
2019,04,18,107052,838405100
2019,04,19,134691,1159464775
2019,04,20,238913,2090023394
2019,04,21,207475,1822403030
2019,04,22,79946,630816240
2019,04,23,81885,639219100
2019,04,24,1372482,9888854850
2019,04,25,869109,7422500860
2019,04,26,1088664,10084606756
2019,04,27,1806633,16115457970
2019,04,28,1572666,13965058820
2019,04,29,500256,4321993790
2019,04,30,586487,5007738770
2019,05,01,1173676,9379066690
2019,05,02,475692,3979295780
2019,05,03,694481,6201031110
2019,05,04,1192821,10575610660
2019,05,05,1202112,10713229160
2019,05,06,983551,8554819230
2019,05,07,268439,2237616440
2019,05,08,196365,1683598930
2019,05,09,275307,2298683400
2019,05,10,374801,3371561603
2019,05,11,815265,7261043801
2019,05,12,729543,6455827300
2019,05,13,213015,1798922760
2019,05,14,205693,1698920570
2019,05,15,365730,2994539350
2019,05,16,323183,2677484800
2019,05,17,426978,3827662520
2019,05,18,935260,8377559320
2019,05,19,885708,7911657310
2019,05,20,293331,2424693050
2019,05,21,253523,2098062860
2019,05,22,253190,2097388960
2019,05,23,282057,2348764720
2019,05,24,384026,3479757223
2019,05,25,863312,7784126667
2019,05,26,837131,7443887850
2019,05,27,290220,2430992470
2019,05,28,254984,2118914460
2019,05,29,562956,3491447690
2019,05,30,732739,5942073920
2019,05,31,907399,8023184795
2019,06,01,1626639,14273079483
2019,06,02,1465455,12767852460
2019,06,03,514623,4167180110
2019,06,04,483912,3893431790
2019,06,05,695587,5676895690
2019,06,06,1545562,13331768820
2019,06,07,974715,8425316524
2019,06,08,1255891,11071715323
2019,06,09,1075238,9450666960
2019,06,10,355396,2910257230
2019,06,11,309833,2535240390
2019,06,12,386536,3168946530
2019,06,13,349697,2856301930
2019,06,14,466061,4186485380
2019,06,15,960179,8548773410
2019,06,16,869344,7743156490
2019,06,17,302956,2498714630
2019,06,18,300006,2459149630
2019,06,19,388561,3183059740
2019,06,20,474395,3958348580
2019,06,21,566600,5159400880
2019,06,22,1236122,10984862158
2019,06,23,1162561,10268560280
2019,06,24,389213,3226005890
2019,06,25,355485,2922780860
2019,06,26,774216,4830175790
2019,06,27,424774,3493223040
2019,06,28,504409,4586002760
2019,06,29,1164073,10336883040
2019,06,30,1027934,9042902610
2020,01,01,1309913,11573769570
2020,01,02,378801,3026016750
2020,01,03,379629,3307803530
2020,01,04,765968,6752816560
2020,01,05,653543,5738793400
2020,01,06,231223,1864479360
2020,01,07,231828,1835413070
2020,01,08,331306,2716016850
2020,01,09,283190,2298668760
2020,01,10,321578,2843514440
2020,01,11,724229,6429456460
2020,01,12,650394,5736473240
2020,01,13,195502,1585074120
2020,01,14,187295,1510640420
2020,01,15,274067,2202339670
2020,01,16,243672,1956356310
2020,01,17,269688,2375859640
2020,01,18,594621,5257522940
2020,01,19,529614,4670671120
2020,01,20,173852,1379193840
2020,01,21,165941,1337167760
2020,01,22,448088,3562700880
2020,01,23,598784,4888228970
2020,01,24,967143,8733940150
2020,01,25,1251581,11475496970
2020,01,26,1428441,12854401910
2020,01,27,1200041,10580501000
2020,01,28,363504,2910650530
2020,01,29,440995,2700794570
2020,01,30,244689,1944462540
2020,01,31,265964,2260361398
2020,02,01,437651,3816654530
2020,02,02,346722,3021294890
2020,02,03,125555,1006554610
2020,02,04,110166,889359880
2020,02,05,226729,1855312850
2020,02,06,198135,1608990690
2020,02,07,216087,1896268090
2020,02,08,412399,3684223820
2020,02,09,386139,3451289010
2020,02,10,161309,1325790780
2020,02,11,163095,1323708790
2020,02,12,295897,2366962660
2020,02,13,282292,2239469260
2020,02,14,348529,3000782950
2020,02,15,611482,5239114920
2020,02,16,566230,4852297080
2020,02,17,210057,1688987290
2020,02,18,213522,1690278450
2020,02,19,276651,2255139770
2020,02,20,211709,1729981770
2020,02,21,189839,1703357510
2020,02,22,285292,2607470870
2020,02,23,206727,1902610130
2020,02,24,74143,623226630
2020,02,25,71806,596182240
2020,02,26,124654,808452310
2020,02,27,77542,650353140
2020,02,28,84338,776198090
2020,02,29,148081,1358490250
2020,03,01,123757,1132482300
2020,03,02,59907,505723460
2020,03,03,56646,478418070
2020,03,04,57602,487766100
2020,03,05,53500,441431920
2020,03,06,56969,519992840
2020,03,07,109044,1001786520
2020,03,08,93523,859918100
2020,03,09,41129,339917360
2020,03,10,40662,335307260
2020,03,11,45187,370632220
2020,03,12,37020,295548800
2020,03,13,40822,352433740
2020,03,14,84251,727692400
2020,03,15,73813,635912720
2020,03,16,28707,221707200
2020,03,17,28124,216264000
2020,03,18,30247,231973400
2020,03,19,28021,226711820
2020,03,20,31507,268889100
2020,03,21,58827,507767240
2020,03,22,50428,435305960
2020,03,23,19324,151315080
2020,03,24,19235,148819300
2020,03,25,48421,308947980
2020,03,26,28426,238054000
2020,03,27,28948,259834880
2020,03,28,45906,410718120
2020,03,29,39712,352089860
2020,03,30,18922,153416720
2020,03,31,25685,201908660
2020,04,01,24657,201483560
2020,04,02,19995,161064440
2020,04,03,18237,160861200
2020,04,04,33018,299828340
2020,04,05,28558,262531860
2020,04,06,11536,95694060
2020,04,07,10855,90394460
2020,04,08,13136,106771480
2020,04,09,10888,88562160
2020,04,10,12409,108297300
2020,04,11,28125,253037680
2020,04,12,28150,251408220
2020,04,13,10393,82636900
2020,04,14,10437,83613660
2020,04,15,32114,264051920
2020,04,16,13875,104905840
2020,04,17,16916,138688320
2020,04,18,32753,267389640
2020,04,19,33890,277724680
2020,04,20,12750,95078300
2020,04,21,12816,92357900
2020,04,22,13644,95503920
2020,04,23,14013,90312440
2020,04,24,14370,97669520
2020,04,25,29368,214465340
2020,04,26,27738,201456740
2020,04,27,13099,82672860
2020,04,28,16942,102863880
2020,04,29,59691,389659360
2020,04,30,84709,676222040
2020,05,01,55299,456714220
2020,05,02,60319,501165340
2020,05,03,60521,502945000
2020,05,04,40381,306631100
2020,05,05,96176,788667160
2020,05,06,26163,205494980
2020,05,07,23221,181867160
2020,05,08,22690,192211620
2020,05,09,65020,568262200
2020,05,10,55690,483514820
2020,05,11,18458,144186680
2020,05,12,19190,150330620
2020,05,13,22696,189520360
2020,05,14,22025,178646120
2020,05,15,27075,243901540
2020,05,16,53102,493086120
2020,05,17,50019,455006900
2020,05,18,19745,162416420
2020,05,19,20707,174900260
2020,05,20,20506,169354440
2020,05,21,21917,168049300
2020,05,22,25656,208225480
2020,05,23,56316,463527080
2020,05,24,56808,466856980
2020,05,25,21318,157864940
2020,05,26,21408,163303540
2020,05,27,41036,244632300
2020,05,28,25949,198149520
2020,05,29,29356,238347820
2020,05,30,61068,505689000
2020,05,31,63370,521845300
2020,06,01,23226,174967400
2020,06,02,21091,158763900
2020,06,03,21471,161782320
2020,06,04,75180,614396440
2020,06,05,75999,674206640
2020,06,06,151842,1361472760
2020,06,07,136919,1213374060
2020,06,08,40985,336941760
2020,06,09,36444,293979260
2020,06,10,69103,615793520
2020,06,11,93472,798049560
2020,06,12,92679,851868880
2020,06,13,188526,1748695120
2020,06,14,177227,1615671480
2020,06,15,49636,408091940
2020,06,16,46775,384894500
2020,06,17,58478,493292440
2020,06,18,98139,818946400
2020,06,19,95450,880459820
2020,06,20,183723,1685774820
2020,06,21,168997,1537233080
2020,06,22,41708,347163380
2020,06,23,41847,342300620
2020,06,24,231974,1495566840
2020,06,25,193739,1589812780
2020,06,26,204566,1810828460
2020,06,27,395296,3486378140
2020,06,28,362272,3124647240
2020,06,29,95756,777660500
